Acionamento;Alma_Cano;Calibre;Funcionamento;Municao;Nome;Portabilidade1;Portabilidade2;Restricao;Sistema_Carregamento;Tamanho;
_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;
_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;_unknown_;
Simples;Raida;7.62;Automatico;Projetil;MG3 Machine Gun;Nao_Portatil;Metralhadora;Nao_Restrito;Retrocarga_Automatica;Longa;
Simples;Lisa;0.4;Semi_Automatico;Projetil;COLTM4;Nao_Portatil;Carabina;Restrito;Retrocarga_Automatica;Longa;
Simples;Raida;0.12;Repeticao;Cartucho;Cobray - The Rogue;Nao_Portatil;Escopeta;Restrito;Antecarga;Longa;
Simples;Lisa;0.5;Automatico;Projetil;Browning M2 HB;Nao_Portatil;Metralhadora;Restrito;Retrocarga_Automatica;Longa;
Simples;Lisa;0.4;Ferrolho;Projetil;Remington M24;Nao_Portatil;Rifle;Nao_Restrito;Antecarga;Longa;
Simples;Lisa;0.4;Semi_Automatico;Projetil;HK416;Nao_Portatil;Rifle;Nao_Restrito;Retrocarga_Automatica;Curta;
Simples;Raida;0.5;Semi_Automatico;Projetil;HK MG4;Nao_Portatil;Metralhadora;Restrito;Retrocarga_Automatica;Longa;
Simples;Raida;5.56;Automatico;Projetil;F2000 Assault Rifle;Nao_Portatil;Rifle;Nao_Restrito;Retrocarga_Automatica;Curta;
Simples;Lisa;12.7;Automatico;Projetil;AS50 Sniper Rifle;Nao_Portatil;Rifle;Nao_Restrito;Retrocarga_Automatica;Longa;
Simples;Raida;0.4;Automatico;Projetil;HK MP5;Nao_Portatil;Submetralhadora;Restrito;Retrocarga_Automatica;Curta;
Simples;Raida;0.44;Repeticao;Projetil;Winchester 44;Nao_Portatil;Rifle;Restrito;Retrocarga_Manual;Longa;
Simples;Lisa;0.45;Repeticao;Projetil;Colt 45;Portatil;Revolver;Restrito;Retrocarga_Manual;Curta;
Simples;Lisa;0.9;Repeticao;Projetil;Glock 9mm;Portatil;Revolver;Restrito;Retrocarga_Manual;Curta;
Simples;Lisa;0.4;Automatico;Projetil;M16;Nao_Portatil;Fuzil;Restrito;Retrocarga_Automatica;Longa;
Simples;Raida;0.4;Semi_Automatico;Projetil;AK47;Nao_Portatil;Fuzil;Restrito;Retrocarga_Automatica;Longa;
Simples;Raida;0.4;Automatico;Projetil;Gatling;Nao_Portatil;Metralhadora;Restrito;Retrocarga_Automatica;Longa;
Simples;Raida;0.4;Semi_Automatico;Projetil;Tommy Gun;Nao_Portatil;Submetralhadora;Restrito;Retrocarga_Automatica;Longa;
Simples;Lisa;7.62;Ferrolho;Projetil;DSR-Precision DSR 50 Sniper Rifle;Nao_Portatil;Rifle;Nao_Restrito;Retrocarga_Manual;Curta;
Simples;Lisa;0.4;Semi_Automatico;Projetil;Thompson M1921 Submachine Gun;Nao_Portatil;Submetralhadora;Nao_Restrito;Retrocarga_Automatica;Curta;
Simples;Lisa;0.5;Repeticao;Projetil;Espingarda CBC Phenomena;Nao_Portatil;Espingarda;Restrito;Retrocarga_Manual;Longa;
Simples;Lisa;0.38;Repeticao;Projetil;Taurus RT941;Nao_Portatil;Revolver;Nao_Restrito;Retrocarga_Manual;Curta;
Simples;Raida;0.12;Repeticao;Projetil;Espingarda YILDIZ SPZ SM CAL. 12 PRO HUNTERS;Nao_Portatil;Espingarda;Nao_Restrito;Antecarga;Longa;
Simples;Lisa;0.38;Repeticao;Projetil;Colt Python;Portatil;Revolver;Restrito;Retrocarga_Manual;Curta;
Simples;Lisa;0.9;Repeticao;Projetil;Beereta 92FS;Portatil;Pistola;Restrito;Retrocarga_Manual;Curta;
Simples;Lisa;0.4;Semi_Automatico;Projetil;UZI Submachine Gun;Nao_Portatil;Submetralhadora;Restrito;Retrocarga_Automatica;Curta;
Simples;Raida;5.56;Automatico;Projetil;XM307 ACSW Advanced Heavy Machine Gun;Nao_Portatil;Metralhadora;Nao_Restrito;Retrocarga_Automatica;Longa;
